《新起点英语》小学单词归类
 
seasons: (季节)
feed---fed
light---lit

cut---cut
set---set
read---read
must---must
let---let
put---put
hit---hit 
learn---learnt
lend---lent
spend---spent
send---sent

write---wrote  
ride---rode
drive---drove
win---won
speak---spoke

swim---swam
drink---drank
sing---sang
sit---sat
begin---began
run---ran
come---came

leave---left
sweep---swept
keep---kept

draw---drew
know---knew
throw---threw
grow---grew
fly---flew
blow---blew


buy---bought
bring---brought
think---thought
teach---taught
catch---caught


